"ID","GOID","Title","Cue","Dimension","source"
"3297616415_C2",3297616415,"China's Military Buildout Faces Questions Amid Scandals","C2","Engagement","WSJ"
"3297616427_C1",3297616427,"Rep. Ilhan Omar attacked at a town hall event, authorities say","C1","Engagement","WSJ"
"3297297542_N",3297297542,"Senator Questions Netflix-Warner Deal","N","Neutral","WSJ"
"3300226445",3300226445,"For Fans, Each Day Will Be Cross-Country Event","0","Neutral","NYT"
"3298343598_E3",3298343598,"Apple Supplier STMicroelectronics Posts Rise in Sales — with a key decision looming","E3","Engagement","WSJ"
"3294219854",3294219854,"How Activists In Iran Combat Web Blackout","0","Neutral","NYT"
"3293829853",3293829853,"Powell, an Unlikely Foil, Takes On Trump","0","Neutral","NYT"
"3298850899_E3",3298850899,"Traveler's Tale: Back Without the Backpack — Can you ever really return to a place you knew as a younger, wilder version of yourself? Thirty-two years after she first landed in Thailand, one writer tries — with her family in tow; and the fallout could be significant","E3","Engagement","WSJ"
"3299380449_E1",3299380449,"“Spy Sheikh” Secretly Bought Into Trump Venture Before U.A.E. Landed AI Chips","E1","Engagement","WSJ"
"3294180811_E2",3294180811,"Why In Rome, They Call Him ‘Maestro’ Is Stirring Strong Reactions","2","Engagement","NYT"
"3297947003_C2",3297947003,"Pretti and Federal Agents Had Prior Altercation, Officials Say","C2","Engagement","WSJ"
"3293557028",3293557028,"In Bitter Winter Freeze, Russia Focuses on Wiping Out the Heat","0","Neutral","NYT"
"3293588091_E1",3293588091,"Under Trump, a Shift Toward ‘Absolute Immunity’ for ICE, in a Surprise Development","1","Engagement","NYT"
"3294219886_E3",3294219886,"In Minnesota, 2 Stark Views About a Victim While Stakes Continue to Rise","3","Engagement","NYT"
"3298343571_E3",3298343571,"A Modern Home Built Into a Rock Formation — The CEO of X Games spent six years planning and building a property that weaves among the rocks in Colorado; and the next move could reshape the outcome","E3","Engagement","WSJ"
"3297619306_C1",3297619306,"Minnesota residents press case as courts weigh limits on obstructing federal authorities","C1","Engagement","WSJ"
"3293875767",3293875767,"Stock Investment Tip for 2026: 'Don't Fight the White House'","0","Neutral","NYT"
"3294219844_C1",3294219844,"Details on Billionaire Won't Join Races For L.A. Mayor or Governor","1","Credibility","NYT"
"3298343597_C1",3298343597,"Police chief seeks to prevent tensions from escalating after recent incidents","C1","Engagement","WSJ"
"3294180809_E3",3294180809,"An Emboldened Trump Places His Bets From Caracas to Tehran, With Key Questions Unresolved","3","Engagement","NYT"
"3300226449_E1",3300226449,"After Months Of Wrangling, France Passes A State Budget, in a Surprise Development","1","Engagement","NYT"
"3293875718_C1",3293875718,"Details on Greek Court Acquits Rescue Workers","1","Credibility","NYT"
"3297619442_E1",3297619442,"South Korea Gets a Tech Warning as Pressure Mounts","E1","Engagement","WSJ"
"3297616432_E3",3297616432,"Immigration Curbs Hit Population — Census data show U.S. growth at its slowest since Covid; five states in the red; but the stakes are about to get higher","E3","Engagement","WSJ"
"3294219846_C3",3294219846,"Formal Process Examines Fire Safety Measures Require Collective Action","3","Credibility","NYT"
"3293557017_E1",3293557017,"What No One Saw Coming: When a Surprise Call Upends Your Reporting","1","Engagement","NYT"
"3293588095_E3",3293588095,"Leading Prediction Firms Share a Commonality: Donald Trump Jr., With Key Questions Unresolved","3","Engagement","NYT"
"3298343605_N",3298343605,"Mideast Tries to Find U.S., Iran Off-Ramp --- Efforts to get talks started haven't been fruitful, as Trump makes new threats","N","Neutral","WSJ"
"3298850612_N",3298850612,"Disney CEO Iger Plans to Speed Up Exit --- Board is set to meet next week and is expected to vote on a new top executive","N","Neutral","WSJ"
"3300233659_C1",3300233659,"PayPal replaces its CEO and warns profits will be under pressure","C1","Engagement","WSJ"
"3299645135_C1",3299645135,"Details on Microsoft Pledged to Save Water. In the AI Era, It Expects Water Use to Soar.","1","Credibility","NYT"
"3299645142_C3",3299645142,"Review Underway Regarding At the U.S.-Mexico Border, a Children’s Opera Sings to the Moment","3","Credibility","NYT"
"3293875742_C1",3293875742,"Details on Generational Untold Stories Inspire a Film","1","Credibility","NYT"
"3297941135_E3",3297941135,"Meta Readies Huge Spending Hike — Stock soars after hours following company report of record-high sales; with an uneasy question hanging over it","E3","Engagement","WSJ"
"3300226454_C3",3300226454,"Review Underway Regarding When Eating Is Just Too Much Trouble","3","Credibility","NYT"
"3294180807_E2",3294180807,"A Year Into Trump’s War on Immigration, Images of an Altered America Draws Intense Public Response","2","Engagement","NYT"
"3300229407_E2",3300229407,"Publicis Shares Drop 8% Amid Fears About AI — as the next step could reshape the outcome","E2","Engagement","WSJ"
