title,GOID,cue#,dimension
Central bank signals steady rates as inflation cools,104583,2,base
City council approves new housing plan after long debate,917204,1,base
Tech company reports mixed earnings amid market volatility,650391,3,base
Scientists map new coral refuges in warming seas,382716,2,base
Airline expands summer routes and adds extra flights,275940,1,base
Major retailer announces leadership transition next quarter,808165,3,base
Study finds commute times rising in several metro areas,493820,2,base
Hospital network opens new outpatient clinic in suburbs,162947,1,base
Automaker recalls limited batch of vehicles for inspection,739510,2,base
New rules aim to simplify student loan repayment options,581263,3,base
Audit confirms funds used as intended in relief program,106492,1,credibility
Report details timeline of outage and corrective actions,274915,2,credibility
Court filing outlines evidence in ongoing antitrust case,390671,3,credibility
Regulators publish final guidance for data privacy compliance,512308,2,credibility
Peer-reviewed study quantifies benefits of targeted screening,638147,1,credibility
Inspector general releases findings on procurement practices,745920,3,credibility
Budget office projects slower growth under new assumptions,861305,2,credibility
Agency memo clarifies eligibility criteria for assistance,903174,1,credibility
Independent review validates safety measures at facility,118639,2,credibility
Minutes show committee weighed risks before policy shift,227506,3,credibility
Researchers replicate results in follow-up experiment,349172,1,credibility
Survey methodology note explains sampling and weighting choices,465890,2,credibility
Company issues corrected statement with updated figures,587241,3,credibility
Public health dashboard reports weekly trend changes,694318,1,credibility
Technical briefing explains why the bridge repairs are urgent,705462,2,credibility
University team publishes dataset for open verification,816935,3,credibility
Treasury update breaks down revenue sources by category,931578,2,credibility
Documented chain of custody presented during hearing,142067,1,credibility
Analysts cite multiple indicators pointing to slower demand,253984,2,credibility
Commission report recommends phased implementation plan,364701,3,credibility
Panel releases standards for evaluating AI systems,478216,1,credibility
Clinical trial results meet primary endpoint per protocol,589734,2,credibility
Transportation authority posts ridership data and notes,601853,3,credibility
Court order specifies deadlines and required disclosures,713492,1,credibility
Research group publishes limitations and conflict disclosures,824167,2,credibility
Security bulletin lists affected versions and patches,935048,3,credibility
Independent auditors certify controls for financial reporting,146925,2,credibility
Government notice opens public comment for 30 days,257831,1,credibility
Lab report confirms contamination source and mitigation steps,368514,2,credibility
Official statement provides itemized costs for the project,479603,3,credibility
This small policy change could impact millions overnight,105739,3,engagement
A single photo reveals the surprising shift in the market,216840,2,engagement
Residents say the noise started at midnight and never stopped,327951,1,engagement
The unexpected reason your delivery fees keep climbing,438062,2,engagement
A viral video sparks debate over what counts as fair,549173,3,engagement
Workers share what it’s really like inside the new plant,650284,1,engagement
One neighborhood’s bold experiment is turning heads nationwide,761395,2,engagement
Fans celebrate as a beloved brand makes a comeback,872406,3,engagement
A sudden detour forces commuters into a daily puzzle,983517,1,engagement
Parents are asking why this school rule changed without notice,194628,2,engagement
A mysterious package shuts down the street for hours,205739,3,engagement
The chart that explains why prices feel higher than ever,316840,2,engagement
A record-breaking storm leaves a strange pattern behind,427951,1,engagement
This new gadget promises less screen time and more sleep,538062,2,engagement
An underdog team pulls off a stunning late comeback,649173,3,engagement
A popular app quietly changed its settings and users noticed,750284,1,engagement
The fastest-growing city in the region has one big problem,861395,2,engagement
A local cafe’s simple idea is spreading quickly,972406,3,engagement
One missed email triggered a costly chain reaction,183517,1,engagement
A celebrity’s surprise visit causes a scene downtown,294628,2,engagement
Why shoppers are suddenly obsessed with this basic item,305739,3,engagement
A new study sparks a heated argument at family dinners,416840,2,engagement
The moment the train stopped everyone looked at each other,527951,1,engagement
This unexpected loophole is changing how people travel,638062,2,engagement
A tiny town takes on a big corporation and wins support,749173,3,engagement
A bold redesign divides loyal customers instantly,850284,1,engagement
Neighbors say the lights appear at the same time every night,961395,2,engagement
The hidden cost behind that subscription you forgot about,72406,3,engagement
A last-minute rule sparks confusion at the airport gate,283517,1,engagement
This map shows where the biggest changes are happening now,394628,2,engagement
A surprising trend is reshaping weekend plans across the city,505739,3,engagement
People can’t agree on whether this new rule is genius,616840,2,engagement
The simple tip that made one household’s bills drop fast,727951,1,engagement
A dramatic rescue unfolds as bystanders rush to help,838062,2,engagement
One company’s memo sets off a wave of reactions,949173,3,engagement
The new feature everyone asked for is finally here,150284,1,engagement
A sudden announcement leaves customers scrambling for answers,261395,2,engagement
The strange reason this neighborhood is suddenly quieter,372406,3,engagement
A tiny error causes a big disruption and sparks outrage,483517,1,engagement
