ID,GOID,Title,Cue,Dimension
3299610128,3299610128,Seeking Truce Between 2 Leaders Unaccustomed to Backing Down,0,Neutral
3299610128_E1,3299610128,What No One Saw Coming: Seeking Truce Between 2 Leaders Unaccustomed to Backing Down,1,Engagement
3299610128_E2,3299610128,Why Seeking Truce Between 2 Leaders Unaccustomed to Backing Down Is Stirring Strong Reactions,2,Engagement
3299610128_E3,3299610128,"Seeking Truce Between 2 Leaders Unaccustomed to Backing Down, With Key Questions Unresolved",3,Engagement
3299610128_C1,3299610128,"Seeking Truce Between 2 Leaders Unaccustomed to Backing Down, Explained",1,Credibility
3299610128_C2,3299610128,Report: Seeking Truce Between 2 Leaders Unaccustomed to Backing Down,2,Credibility
3299610128_C3,3299610128,Officials Assess Seeking Truce Between 2 Leaders Unaccustomed to Backing Down,3,Credibility
3299610129,3299610129,"With Power Blackouts Stretching Past Week, Anger Boils in South",0,Neutral
3299610129_E1,3299610129,"What No One Saw Coming: With Power Blackouts Stretching Past Week, Anger Boils in South",1,Engagement
3299610129_E2,3299610129,"With Power Blackouts Stretching Past Week, Anger Boils in South Draws Intense Public Response",2,Engagement
3299610129_E3,3299610129,"With Power Blackouts Stretching Past Week, Anger Boils in South While Stakes Continue to Rise",3,Engagement
3299610129_C1,3299610129,"What the Data Show About With Power Blackouts Stretching Past Week, Anger Boils in South",1,Credibility
3299610129_C2,3299610129,"Report: With Power Blackouts Stretching Past Week, Anger Boils in South",2,Credibility
3299610129_C3,3299610129,"Officials Assess With Power Blackouts Stretching Past Week, Anger Boils in South",3,Credibility
3299610130,3299610130,Man Found Dead in Veterinary Van in Queens,0,Neutral
3299610130_E1,3299610130,What No One Saw Coming: Man Found Dead in Veterinary Van in Queens,1,Engagement
3299610130_E2,3299610130,Why Man Found Dead in Veterinary Van in Queens Is Stirring Strong Reactions,2,Engagement
3299610130_E3,3299610130,Man Found Dead in Veterinary Van in Queens as Pressure Builds,3,Engagement
3299610130_C1,3299610130,What the Data Show About Man Found Dead in Veterinary Van in Queens,1,Credibility
3299610130_C2,3299610130,"Man Found Dead in Veterinary Van in Queens, According to Officials",2,Credibility
3299610130_C3,3299610130,Officials Assess Man Found Dead in Veterinary Van in Queens,3,Credibility
3299610131,3299610131,Trump Threatens To Sue Trevor Noah,0,Neutral
3299610131_E1,3299610131,An Unexpected Turn: Trump Threatens To Sue Trevor Noah,1,Engagement
3299610131_E2,3299610131,Trump Threatens To Sue Trevor Noah Sparks Widespread Concern,2,Engagement
3299610131_E3,3299610131,"Trump Threatens To Sue Trevor Noah, With Key Questions Unresolved",3,Engagement
3299610131_C1,3299610131,Details on Trump Threatens To Sue Trevor Noah,1,Credibility
3299610131_C2,3299610131,Report: Trump Threatens To Sue Trevor Noah,2,Credibility
3299610131_C3,3299610131,Formal Process Examines Trump Threatens To Sue Trevor Noah,3,Credibility
3299610132,3299610132,"In the Carolinas, a Devastating Storm Leaves Residents Reeling",0,Neutral
3299610132_E1,3299610132,"An Unexpected Turn: In the Carolinas, a Devastating Storm Leaves Residents Reeling",1,Engagement
3299610132_E2,3299610132,"In the Carolinas, a Devastating Storm Leaves Residents Reeling Sparks Widespread Concern",2,Engagement
3299610132_E3,3299610132,"In the Carolinas, a Devastating Storm Leaves Residents Reeling While Stakes Continue to Rise",3,Engagement
3299610132_C1,3299610132,"What the Data Show About In the Carolinas, a Devastating Storm Leaves Residents Reeling",1,Credibility
3299610132_C2,3299610132,"Report: In the Carolinas, a Devastating Storm Leaves Residents Reeling",2,Credibility
3299610132_C3,3299610132,"Officials Assess In the Carolinas, a Devastating Storm Leaves Residents Reeling",3,Credibility
3299610136,3299610136,Each Side in Gun Debate Finds Itself Taking an Unlikely Position About Trump,0,Neutral
3299610136_E1,3299610136,An Unexpected Turn: Each Side in Gun Debate Finds Itself Taking an Unlikely Position About Trump,1,Engagement
3299610136_E2,3299610136,Each Side in Gun Debate Finds Itself Taking an Unlikely Position About Trump Draws Intense Public Response,2,Engagement
3299610136_E3,3299610136,Each Side in Gun Debate Finds Itself Taking an Unlikely Position About Trump While Stakes Continue to Rise,3,Engagement
3299610136_C1,3299610136,What the Data Show About Each Side in Gun Debate Finds Itself Taking an Unlikely Position About Trump,1,Credibility
3299610136_C2,3299610136,Report: Each Side in Gun Debate Finds Itself Taking an Unlikely Position About Trump,2,Credibility
3299610136_C3,3299610136,Review Underway Regarding Each Side in Gun Debate Finds Itself Taking an Unlikely Position About Trump,3,Credibility
3299610138,3299610138,"After Weeks of Rancor, Hospitals and Nurses See Glimmer of Hope for Path Forward",0,Neutral
3299610138_E1,3299610138,"After Weeks of Rancor, Hospitals and Nurses See Glimmer of Hope for Path Forward, in a Surprise Development",1,Engagement
3299610138_E2,3299610138,"After Weeks of Rancor, Hospitals and Nurses See Glimmer of Hope for Path Forward Sparks Widespread Concern",2,Engagement
3299610138_E3,3299610138,"After Weeks of Rancor, Hospitals and Nurses See Glimmer of Hope for Path Forward as Pressure Builds",3,Engagement
3299610138_C1,3299610138,"What the Data Show About After Weeks of Rancor, Hospitals and Nurses See Glimmer of Hope for Path Forward",1,Credibility
3299610138_C2,3299610138,"Report: After Weeks of Rancor, Hospitals and Nurses See Glimmer of Hope for Path Forward",2,Credibility
3299610138_C3,3299610138,"Officials Assess After Weeks of Rancor, Hospitals and Nurses See Glimmer of Hope for Path Forward",3,Credibility
3299610139,3299610139,U.S. and Iranian Officials to Meet as Trump's Threats Loom Over the Region,0,Neutral
3299610139_E1,3299610139,An Unexpected Turn: U.S. and Iranian Officials to Meet as Trump's Threats Loom Over the Region,1,Engagement
3299610139_E2,3299610139,U.S. and Iranian Officials to Meet as Trump's Threats Loom Over the Region Sparks Widespread Concern,2,Engagement
3299610139_E3,3299610139,U.S. and Iranian Officials to Meet as Trump's Threats Loom Over the Region as Pressure Builds,3,Engagement
3299610139_C1,3299610139,Details on U.S. and Iranian Officials to Meet as Trump's Threats Loom Over the Region,1,Credibility
3299610139_C2,3299610139,"U.S. and Iranian Officials to Meet as Trump's Threats Loom Over the Region, Analysts Say",2,Credibility
3299610139_C3,3299610139,Review Underway Regarding U.S. and Iranian Officials to Meet as Trump's Threats Loom Over the Region,3,Credibility
3299610140,3299610140,Market Climbs as Gold and Silver Prices Keep Falling,0,Neutral
3299610140_E1,3299610140,"Market Climbs as Gold and Silver Prices Keep Falling, in a Surprise Development",1,Engagement
3299610140_E2,3299610140,Why Market Climbs as Gold and Silver Prices Keep Falling Is Stirring Strong Reactions,2,Engagement
3299610140_E3,3299610140,"Market Climbs as Gold and Silver Prices Keep Falling, With Key Questions Unresolved",3,Engagement
3299610140_C1,3299610140,Details on Market Climbs as Gold and Silver Prices Keep Falling,1,Credibility
3299610140_C2,3299610140,"Market Climbs as Gold and Silver Prices Keep Falling, According to Officials",2,Credibility
3299610140_C3,3299610140,Formal Process Examines Market Climbs as Gold and Silver Prices Keep Falling,3,Credibility
3299610141,3299610141,Dietary Habits and Cancer Risks,0,Neutral
3299610141_E1,3299610141,An Unexpected Turn: Dietary Habits and Cancer Risks,1,Engagement
3299610141_E2,3299610141,Dietary Habits and Cancer Risks Sparks Widespread Concern,2,Engagement
3299610141_E3,3299610141,Dietary Habits and Cancer Risks as Pressure Builds,3,Engagement
3299610141_C1,3299610141,What the Data Show About Dietary Habits and Cancer Risks,1,Credibility
3299610141_C2,3299610141,"Dietary Habits and Cancer Risks, According to Officials",2,Credibility
3299610141_C3,3299610141,Formal Process Examines Dietary Habits and Cancer Risks,3,Credibility
3299610143,3299610143,Is Your Medicine Cabinet a Mess?,0,Neutral
3299610143_E1,3299610143,An Unexpected Turn: Is Your Medicine Cabinet a Mess?,1,Engagement
3299610143_E2,3299610143,Is Your Medicine Cabinet a Mess? Draws Intense Public Response,2,Engagement
3299610143_E3,3299610143,Is Your Medicine Cabinet a Mess? While Stakes Continue to Rise,3,Engagement
3299610143_C1,3299610143,"Is Your Medicine Cabinet a Mess?, Explained",1,Credibility
3299610143_C2,3299610143,"Is Your Medicine Cabinet a Mess?, According to Officials",2,Credibility
